Site_Latitude,Site_Longitude,Site_Soil_Sand_Percentage,Site_Soil_Silt_Percentage,Site_Soil_Clay_Percentage,Site_Precipitation_mm,Site_Temperature_Celsius,Crop_Biomass_Aerial
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,1.58
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,5.19
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.31
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,5.17
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.78
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,2.3
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.09
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,3.1
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.13
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,3.42
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,2.01
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,2.4
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,1.37
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,3.5
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.15
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.07
45.44,-111.26,9.0,85.0,5.0,349.0,6.0,4.23
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,6.12
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,4.34
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,4.4
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,3.32
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,3.75
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,4.49
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.89
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.65
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.68
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,1.78
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.77
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.08
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.48
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.04
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,1.54
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.24
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.64
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.11
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,1.96
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.02
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,1.89
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,1.68
47.16,-117.17,20.0,42.0,18.0,379.0,8.4,2.46
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,4.32
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,7.53
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,8.69
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,7.47
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,1.83
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,4.78
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,4.98
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,5.14
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,7.68
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,8.59
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,9.15
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,9.71
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,2.9
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,5.64
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,6.71
-43.39,172.28,27.0,63.0,10.0,271.0,14.8,6.0
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,5.06
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,8.54
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,10.43
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,2.22
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,5.23
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,6.56
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,8.3
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,9.63
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,11.27
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,3.72
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,6.43
-43.39,172.28,27.0,63.0,10.0,359.0,13.8,7.81
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.15
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.73
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.17
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,4.16
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.64
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.43
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.45
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,4.77
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.34
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,4.15
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.44
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.58
47.03,-109.57,33.0,34.0,34.0,233.0,11.9,3.97
